id,title,title_fr
28106,Sports & Fitness Instruction,Cours de sport et de remise en forme
28107,Sports & Recreation,Sports et loisirs
28108,Sports & Recreation Venue,Lieu de sports et de loisirs
28109,Sports Bar,Bar sportif
28110,Sports Club,Club de sport
28111,Sports Event,Événement sportif
28112,Sports League,Ligue sportive
28113,Sports Promoter,Promoteur sportif
28114,Sports Team,Équipe de sport
28115,Sportswear Store,Magasin de vêtements de sport
28116,Squash Court,Terrain de squash
28117,Sri Lankan Restaurant,Restaurant sri lankais
28118,Stadium; Arena & Sports Venue,Stade; Arène et lieu de sport
28119,State,État
28120,State Park,Parc d'état
28121,Stately Home,Maison seigneuriale
28122,Statue & Fountain,Statue & Fontaine
28123,STD Testing Center,Centre de test MST
28124,Steakhouse,Steak House
28125,Storage Facility,Facilité de stockage
28126,Street,Rue
28127,Structural Engineer,Ingénieur en structure
28128,Subway Station,Station de métro
28129,Sugaring Service,Service de sucrage
28130,Sukiyaki Restaurant,Restaurant Sukiyaki
28131,Sundanese Restaurant,Restaurant sundanais
28132,Sunglasses & Eyewear Store,Magasin de lunettes de soleil et de lunettes
28133,Supermarket,Supermarché
28134,Surf Shop,Magasin de surf
28135,Surfing Spot,Spot de surf
28136,Surgeon,Chirurgien
28137,Surgical Center,Centre chirurgical
28138,Surveyor,Arpenteur
28139,Sushi Restaurant,Restaurant de sushis
28140,Swabian Restaurant,Restaurant souabe
28141,Swimming Instructor,Instructeur de natation
28142,Swimming Pool & Hot Tub Service,Service de piscine et bain à remous
28143,Swimming Pool Cleaner,Nettoyeur de piscine
28144,Swimwear Store,Magasin de maillots de bain
28145,Swiss Restaurant,Restaurant Suisse
28146,Symphony,Symphonie
28147,Synagogue,Synagogue
28148,Syrian Restaurant,Restaurant syrien
28149,Szechuan/Sichuan Restaurant,Restaurant Szechuan/Sichuan
29000,Taco Restaurant,Restaurant de tacos
29001,Tai Chi Studio,Studio de Tai Chi
29002,Taiwanese Restaurant,Restaurant Taïwanais
29003,Takoyaki Restaurant,Restaurant Takoyaki
29004,Talent Agent,Agent de talent
29005,Tamilian Restaurant,Restaurant tamoul
29006,Tanning Salon,Salon de bronzage
29007,Tapas Bar & Restaurant,Bar à tapas et restaurant
29008,Tatar Restaurant,Restaurant tatar
29009,Tattoo & Piercing Shop,Boutique de tatouages ​​et de piercings
29010,Tax Lawyer,Avocat fiscaliste
29011,Tax Preparation Service,Service de préparation des déclarations
29012,Taxi Service,Service de taxi
29013,Taxidermist,Taxidermiste
29014,Tea Room,Salon de thé
29015,Teacher,Prof
29016,Technology Company,Entreprise de technologie
29017,Teens & Kids Website,Site ados et enfants
29018,Teeth Whitening Service,Service de blanchiment des dents
29019,Telecommunication Company,Entreprise de télécommunication
29020,Telemarketing Service,Service de télémarketing
29021,Television Repair Service,Service de réparation de télévision
29022,Television Service Provider,Fournisseur de services de télévision
29023,Tempura Restaurant,Restaurant Tempura
29024,Tennis Court,Court de tennis
29025,Tennis Stadium,Stade de tennis
29026,Teppanyaki Restaurant,Restaurant Teppanyaki
29027,Test Preparation Center,Centre de préparation aux tests
29028,Tex-Mex Restaurant,Restaurant Tex Mex
29029,Textile Company,Entreprise textile
29030,Thai Restaurant,Restaurant thaï
29031,Theatrical Play,Pièce de théâtre
29032,Theatrical Productions,Productions théâtrales
29033,Theme Restaurant,Restaurant à thème
29034,Therapist,Thérapeute
29035,Threading Service,Service de filetage
29036,Thrift & Consignment Store,Friperie et dépôt-vente
29037,Tianjin Restaurant,Restaurant Tianjin
29038,Ticket Sales,La vente de billets
29039,Tiki Bar,Tiki Bar
29040,Tiling Service,Carrelage
29041,Tire Dealer & Repair Shop,Concessionnaire de pneus et atelier de réparation
29042,Tobacco Company,Compagnie de tabac
29043,Tobacco Store,Magasin de tabac
29044,Tonkatsu Restaurant,Restaurant Tonkatsu
29045,Tools/Equipment,Outils/Équipement
29046,Tour Agency,Agence de voyages
29047,Tour Guide,Guide touristique
29048,Tourist Information Center,Centre d'information touristique
29049,Towing Service,Service de remorquage
29050,Town Hall,Mairie
29051,Township,Canton
29052,Toy Store,Magasin de jouets
29053,Track Stadium,Stade de piste
29054,Trade School,Une école de commerce
29055,Traffic School,École de la circulation
29056,Trailer Dealership,Concessionnaire de remorques
29057,Trailer Rental,Location de remorque
29058,Train Station,Gare
29059,Transit Hub,Centre de transport en commun
29060,Transit Stop,Arrêt de transport en commun
29061,Transit System,Système de transport en commun
29062,Translator,Traducteur
29063,Transportation & Accomodation Services,Services de transport et d'hébergement
29064,Transportation Service,Service de transport
29065,Travel & Transportation,Voyage et transport
29066,Travel Agency,Agence de voyage
29067,Travel Company,Compagnie de voyage
29068,Travel Service,Service de voyage
29069,Tree Cutting Service,Service d'abattage d'arbres
29070,Trentino Alto Adige Restaurant,Restaurant Trentin Haut Adige
29071,Trinidadian Restaurant,Restaurant Trinidadien
29072,Trophies & Engraving Shop,Trophées & Gravure Boutique
29073,Truck Rental,Location de camion
29074,Truck Repair Shop,Atelier de réparation de camions
29075,Turkish Restaurant,Restaurant turc
29076,Tuscan Restaurant,Restaurant toscan
29077,Tutor/Teacher,Tuteur/Enseignant
29078,TV,la télé
29079,TV & Movies,TV et Films
29080,TV Channel,Chaîne TV
29081,TV Genre,Genre de télévision
29082,TV Network,TV connectée
29083,TV Season,Saison télévisée
29084,TV Show,Émission de télévision
29085,TV/Movie Award,Prix ​​​​de la télévision / du cinéma
30000,Udon Restaurant,Restaurant Udon
30001,Ukrainian Restaurant,Restaurant Ukrainien
30002,Umbrian Restaurant,Restaurant Ombrie
30003,Unagi Restaurant,Restaurant Unagi
30004,Uniform Supplier,Fournisseur d'uniformes
30005,University Status,Statut universitaire
30006,Urban Farm,Ferme urbaine
30007,Urologist,Urologue
30008,Uruguayan Restaurant,Restaurant uruguayen
30009,Uttar Pradesh Restaurant,Restaurant de l'Uttar Pradesh
30010,Uzbek Restaurant,Restaurant ouzbek
31000,Vacation Home Rental,Location de maison de vacances
31001,Vegetarian/Vegan Restaurant,Restaurant végétarien/végétalien
31002,Vending Machine Sales & Service,Vente et service de distributeurs automatiques
31003,Venetian Restaurant,Restaurant Vénitien
31004,Venezuelan Restaurant,Restaurant vénézuélien
31005,Veterinarian,Vétérinaire
31006,Video,Vidéo
31007,Video Creator,Créateur de vidéos
31008,Video Game,Jeu vidéo
31009,Video Game Store,Magasin de jeux vidéo
31010,Vietnamese Restaurant,Restaurant vietnamien
31011,Village,Village
31012,Vintage Store,Boutique vintage
31013,Vinyl Siding Company,Entreprise de revêtement de vinyle
31014,Visual Arts,arts visuels
31015,Vitamin Supplement Shop,Boutique de suppléments vitaminiques
31016,Vitamins/Supplements,Vitamines/Suppléments
31017,Volleyball Court,Terrain de volleyball
32000,Wagashi Restaurant,Restaurant Wagashi
32001,Warehouse,Entrepôt
32002,Waste Management Company,Société de gestion des déchets
32003,Water Heater Installation & Repair Service,Service d'installation et de réparation de chauffe-eau
32004,Water Park,Parc aquatique
32005,Water Treatment Service,Service de traitement de l'eau
32006,Water Utility Company,Compagnie des eaux
32007,Waterfall,Cascade
32008,Waxing Service,Service d'épilation
32009,Web Designer,Concepteur Web
32010,Website,Site Internet
32011,Websites & Blogs,Sites Web et blogs
32012,Wedding Planning Service,Service de planification de mariage
32013,Wedding Venue,Salle de mariage
32014,Weight Loss Center,Centre de perte de poids
32015,Well Water Drilling Service,Service de forage d'eau de puits
32016,Wheel & Rim Repair Service,Service de réparation de roues et de jantes
32017,Whisky Bar,Bar à whisky
32018,Wholesale & Supply Store,Commerce de gros et de fournitures
32019,Wholesale Bakery,Boulangerie en gros
32020,Wholesale Grocer,Épicier en gros
32021,Wig Store,Magasin de perruques
32022,Wildlife Sanctuary,Sanctuaire de la faune
32023,Window Installation Service,Service d'installation de fenêtres
32024,Wine Bar,Bar à vin
32025,Wine; Beer & Spirits Store,Vin; Magasin de bières et spiritueux
32026,Wine/Spirits,Vins/Spiritueux
32027,Winery/Vineyard,Cave/Vignoble
32028,Women’s Clothing Store,Magasin de vêtements pour femmes
32029,Women’s Health Clinic,Clinique de santé des femmes
32030,Work Position,Position de travail
32031,Work Project,Projet de travail
32032,Workplace & Office,Lieu de travail et bureau
32033,Writer,Écrivain
32034,Writing Service,Service de rédaction
33000,Xinjiang Restaurant,Restaurant du Xinjiang
33001,Yakiniku Restaurant,Restaurant Yakiniku
33002,Yakitori Restaurant,Restaurant Yakitori
33003,Yoga Studio,Studio de yoga
33004,Yoshoku Restaurant,Restaurant Yoshoku
33005,Youth Organization,Organisation de jeunesse
33006,Yunnan Restaurant,Restaurant du Yunnan
34000,Zhejiang Restaurant,Restaurant du Zhejiang
34000,Zoo,Zoo
